C,MaxIter_SLS,Batch_SLS,mu_SLS,K1,K2,MaxIter_Softmax,Batch_Softmax,mu_Softmax,Fscore,Tiempo
10,50,32,0.1,40,21,2500,32,0.1,0.9738282586383852,2.8035576343536377
10,50,32,0.1,40,21,2500,32,0.05,0.9869258705404828,2.7744314670562744
10,50,32,0.1,40,21,2500,32,0.1,0.956922740498058,2.7487804889678955
10,50,32,0.1,40,21,2500,32,0.05,0.9651043448511804,2.7518749237060547
10,50,32,0.1,40,21,2500,32,0.01,0.9825641025641024,2.753089666366577
10,50,32,0.1,40,21,2500,32,0.001,0.9655066557480702,2.784311056137085
10,50,32,0.1,40,21,2500,32,0.0001,0.9696556864768784,2.7545604705810547
10,50,32,0.1,40,21,2500,64,0.1,0.9782135076252724,2.09370493888855
10,50,32,0.1,40,21,2500,64,0.05,0.9831370180207388,2.0909087657928467
10,50,32,0.1,40,21,2500,64,0.01,0.9694936979277932,2.1464831829071045
10,50,32,0.1,40,21,2500,64,0.001,0.973846153846154,2.1697168350219727
10,50,32,0.1,40,21,2500,64,0.0001,0.9704402746847568,2.2288906574249268
10,50,32,0.1,40,21,2500,128,0.1,0.9657412319481286,1.8282358646392822
10,50,32,0.1,40,21,2500,128,0.05,0.991285030758715,1.7623569965362549
10,50,32,0.1,40,21,2500,128,0.01,0.9654334441949036,1.762620210647583
10,50,32,0.1,40,21,2500,128,0.001,0.9694989106753812,1.7943239212036133
10,50,32,0.1,40,21,2500,128,0.0001,0.96514012303486,1.8122899532318115
10,50,32,0.1,40,21,2500,256,0.1,0.973855092276145,1.7135541439056396
10,50,32,0.1,40,21,2500,256,0.05,0.9869258705404828,1.6854510307312012
10,50,32,0.1,40,21,2500,256,0.01,0.9825641025641024,1.6629722118377686
10,50,32,0.1,40,21,2500,256,0.001,0.9563356164383562,1.647252082824707
10,50,32,0.1,40,21,2500,256,0.0001,0.9524231356524738,1.6441168785095215
10,50,32,0.1,40,18,2500,32,0.1,0.978568617584854,2.775156021118164
10,50,32,0.1,40,18,2500,32,0.05,0.9869258705404828,2.7871532440185547
10,50,32,0.1,40,18,2500,32,0.01,0.9781986064207242,2.7668280601501465
10,50,32,0.1,40,18,2500,32,0.001,0.9785219628810244,2.758209466934204
10,50,32,0.1,40,18,2500,32,0.0001,0.9655356253383246,2.7613039016723633
10,50,32,0.1,40,18,2500,64,0.1,0.9872082656849744,2.1226744651794434
10,50,32,0.1,40,18,2500,64,0.05,0.9869281045751634,2.15134596824646
10,50,32,0.1,40,18,2500,64,0.01,0.991285030758715,2.197176933288574
10,50,32,0.1,40,18,2500,64,0.001,0.9607776116214484,2.184644937515259
10,50,32,0.1,40,18,2500,64,0.0001,0.9610613524076758,2.1063106060028076
10,50,32,0.1,40,18,2500,128,0.1,0.9694936979277932,1.758284091949463
10,50,32,0.1,40,18,2500,128,0.05,0.98257006151743,1.72226881980896
10,50,32,0.1,40,18,2500,128,0.01,0.9525311829593998,1.7329230308532715
10,50,32,0.1,40,18,2500,128,0.001,0.9696556864768784,1.7408556938171387
10,50,32,0.1,40,18,2500,128,0.0001,0.970177021379528,1.7376699447631836
10,50,32,0.1,40,18,2500,256,0.1,0.97419295855202,1.573951005935669
10,50,32,0.1,40,18,2500,256,0.05,0.9871733254705392,1.6032195091247559
10,50,32,0.1,40,18,2500,256,0.01,0.9703544935743076,1.594301462173462
10,50,32,0.1,40,18,2500,256,0.001,0.9698356600770746,1.5701661109924316
10,50,32,0.1,40,18,2500,256,0.0001,0.9524630544691748,1.587998628616333
10,50,32,0.1,40,16,2500,32,0.1,0.9442406210444498,2.775315761566162
10,50,32,0.1,40,16,2500,32,0.05,0.9743526789806282,2.842782497406006
10,50,32,0.1,40,16,2500,32,0.01,0.98257006151743,2.988396406173706
10,50,32,0.1,40,16,2500,32,0.001,0.9869258705404828,3.0085694789886475
10,50,32,0.1,40,16,2500,32,0.0001,0.9476565172767704,2.9597666263580322
10,50,32,0.1,40,16,2500,64,0.1,0.991285030758715,2.225837469100952
10,50,32,0.1,40,16,2500,64,0.05,0.9741241731404096,2.108802318572998
10,50,32,0.1,40,16,2500,64,0.01,0.9694936979277932,2.191969871520996
10,50,32,0.1,40,16,2500,64,0.001,0.9869258705404828,2.2050085067749023
10,50,32,0.1,40,16,2500,64,0.0001,0.9563804310639754,2.2182834148406982
10,50,32,0.1,40,16,2500,128,0.1,0.9740092165898616,1.8263652324676514
10,50,32,0.1,40,16,2500,128,0.05,0.978209784234138,1.852766752243042
10,50,32,0.1,40,16,2500,128,0.01,0.991285030758715,1.8155262470245361
10,50,32,0.1,40,16,2500,128,0.001,0.9782135076252724,1.8287744522094727
10,50,32,0.1,40,16,2500,128,0.0001,0.9307614445322708,1.7796790599822998
10,50,32,0.1,40,16,2500,256,0.1,0.9742151773120652,1.5994696617126465
10,50,32,0.1,40,16,2500,256,0.05,0.98257006151743,1.6785202026367188
10,50,32,0.1,40,16,2500,256,0.01,0.9869258705404828,1.582810878753662
10,50,32,0.1,40,16,2500,256,0.001,0.982903692623097,1.5940477848052979
10,50,32,0.1,40,16,2500,256,0.0001,0.9433163766938828,1.6293082237243652
10,50,32,0.1,40,12,2500,32,0.1,0.97419295855202,2.7649612426757812
10,50,32,0.1,40,12,2500,32,0.05,0.9828496749986098,2.7736427783966064
10,50,32,0.1,40,12,2500,32,0.01,0.9738282586383852,2.726557731628418
10,50,32,0.1,40,12,2500,32,0.001,0.9694936979277932,2.743262767791748
10,50,32,0.1,40,12,2500,32,0.0001,0.9651282051282052,2.7641208171844482
10,50,32,0.1,40,12,2500,64,0.1,0.9694989106753812,2.0163543224334717
10,50,32,0.1,40,12,2500,64,0.05,0.978209784234138,2.0059478282928467
10,50,32,0.1,40,12,2500,64,0.01,0.9651043448511804,1.993852138519287
10,50,32,0.1,40,12,2500,64,0.001,0.973846153846154,1.998882532119751
10,50,32,0.1,40,12,2500,64,0.0001,0.956788554455316,1.9981284141540527
10,50,32,0.1,40,12,2500,128,0.1,0.9694519317160828,1.682053804397583
10,50,32,0.1,40,12,2500,128,0.05,0.98287926135597,1.6981427669525146
10,50,32,0.1,40,12,2500,128,0.01,0.9956427015250544,1.6575419902801514
10,50,32,0.1,40,12,2500,128,0.001,0.9651043448511804,1.702263355255127
